Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados Soriana,Precio Enlatados Soriana,Enlatados LaComer,Precio Enlatados LaComer
,Atun En Agua 140 Gr,18.9,Chiles Carey Chipotles Adobados 215g,8.5,Tuny Atún Agua 140 Gr Lat,15.05,Granos De Elote Dorado,8.9
,Frijoles Refritos Bayos 400 Gr,16.9,Zanahorias en Escabeche Del Monte 390g,14.65,Atun Tuny En Aceite Lat 140Gr,15.0,Chicharron De Cerdo,159.0
,Elote En Lata 220 Gr,9.5,Chiles Chilpotles Del Monte Adobados 205g,16.35,Atún Dolores En Agua Pouch 78G,14.9,Granos De Elote Dorado,15.0
,Elote En Lata 432 Gr,14.9,Rajas Jalapeño Buen Origen Orgánicas Oval 440g,25.03,Chilorio Chata De Pavo 250 Gr,56.0,Garbanzos,14.9
,Atun En Agua Solido De Lomo 140 Gr,31.0,Nachos Jalapeño Buen Origen Orgánicos Oval 440g,39.5,Atún Dolores En Aceite Lata 295G,33.9,Granos De Elote,9.1
,Frijoles Refritos Peruanos 400 Gr,16.9,Chicharrón de Chile Don Chacho Habanero 140 g,97.0,Lomo De Atún El Dorado Nutre En Aceite 140 Gr,10.5,Champiñones Rebanados,16.9
,Atun En Agua 140 Gr,10.9,Chilitos Gueritos La Norteña Pouch 230g,21.0,Sardinas Ponto En Salsa De Tomate 120 Gr,21.5,Granos De Elote Blanco Mexicano,13.95
,Frijoles Pintos 425 Gr,18.9,Chipotles San Marcos Adobados Enteros 380g,27.9,Sardina En Salsa De Tomate Dolores Lata 120G,21.5,Ensalada De Verduras,8.9
,Atun Jumbo En Agua 295 Gr,39.0,Chipotles San Marcos Molidos 215g,17.5,Atun Mazatun En Aceite Lat 140Gr,13.5,Ensalada De Verduras,13.2
,Elote En Lata 225 Gr,8.5,Jalapeño La Morena 800g,24.9,Atun En Aceite Aceite Precissimo Pza,10.0,Champiñones Rebanados,30.2
,Atun En Agua 140 Gr,19.5,Chiles Clemente Jacques Chipotles 220g,17.0,Ensalada Tuny Atun S/Mayonesa Lat 135Gr,14.5,Granos De Elote Dorado,14.9
,Frijoles Refritos Bayos 400 Gr,13.5,Chiles Divina De Calabria 260 Gr,179.0,Atún Herdez En Agua 85 Gr,17.9,Granos De Elote Dorado,12.95
,Atun En Agua Pouch 75 Gr,18.5,Chiles Güeros Lol Tun Carricillos 350 gr,24.0,Tamal Verde La Costeña 110 Gr,11.1,Garbanzo En Salmuera,16.7
,Sopa Fideo 95 Gr,13.0,Chiles Jalapeños La Costeña Enteros 780g,26.9,Atun Atun Agua Marina Azul 130 Gramo Lata,16.0,Chicharos,7.05
,Atun Pouch Agua 74 Gr,20.9,Chiles Clemente Jacques Habaneros Molidos 220g,20.0,Ensalada De Atún Dolores Cupcan 135G,16.5,Ensalada De Verduras,11.6
,Elote En Lata 220 Gr,9.9,Chiles Clemente Jacques Jalapeños Enteros 380g,13.0,Sardinas Ponto En Aceite 120 Gr,20.75,Champiñones En Trocitos,16.0
,Atun En Agua Pouch 74 Gr,15.9,Chiles Clemente Jacques Jalapeños Rajas 380g,13.0,Ensalada De Atún Primavera Tuny Sin Mayonesa 110 Gr,16.7,Ensalada De Verduras Mas 15%,8.6
,Atun Pouch Agua 78 Gr,19.9,Chiles Clemente Jacques Chipotles Dulces Gourmet 220g,25.9,Salmón En Agua Tuny Light 75 Gr,22.1,Chicharos Con Zanahorias,7.8
,Frijoles Refritos Negros 400 Gr,16.9,Chiles Clemente Jacques Habaneros Rodajas Gourmet 220g,19.0,Lomo De Atún Tuny Jumbo En Aceite 295 Gr,30.0,Champiñones Rebanados,13.5
,Atun Agua 295 Gr,39.9,Chiles El Mexicano Jalapeños Enteros 340g,13.5,Chata Chilorio De Cerdo Pouch 215Gr,62.0,Granos De Elote Dorado Mas 15%,8.55
,Atun En Agua 130 Gr,20.5,Chiles El Mexicano Jalapeños en Rajas 800g,27.7,Ensalada De Atún Con Mayonesa Dolores Cupcan 135G,16.5,Chicharos,7.3
,Elote En Lata 400 Gr,15.9,Chiles El Mexicano Jalapeños en Rajas 340g,15.7,Lomo De Atún Maztun En Agua 78 Gr,14.9,Champiñones En Escabeche,19.5
,Sopa Ramen De Pollo 85 Gr,6.0,Chiles El Mexicano Jalapeños en Rajas 220g,10.0,Atun En Agua  Valley Foods Lata 140 Grs,13.9,Champiñones En Escabeche,37.25
,Elote Blanco En Lata 220 Gr,14.5,Chiles El Mexicano Jalapeños en Nachos 380g,14.9,Lomo De Atún Mazatun En Aceite 295 Gr,28.0,Ensalada De Legumbres,11.5
,Frijoles Bayos Refritos 430 Gr,15.5,Chiles El Mexicano Jalapeños Enteros 780g,25.2,Elote Grano Del Monte 225 Gr,8.75,Ensalada Campesina,6.9
,Sopas Knorr Sopa Estrellitas 143 Gr,15.5,Chiles El Mexicano Chipotle Adobado 215g,16.7,Frijoles Bayos La Costeña 580 Gr,15.5,Chicharos,11.2
,Sopa Fideo 143 Gr,17.0,Chiles El Mexicano Chipotle Adobado 380g,29.5,Frijoles Bayos La Costeña Enteros 560 Gr,15.75,Ensalada De Legumbres,8.3
,Frijoles Refritos Bayos 580 Gr,13.5,Jalapeño La Morena 380g,14.9,Frijoles Negros La Costeña 560 Gr,15.75,Granos De Elote Dorado,11.25
,Frijoles Peruanos Refritos 400 Gr,13.5,Chipotles Adobo La Morena  380g,32.5,Frijol Refritos Bayos La Sierra 580 Gr,14.55,Chicharos Y Zanahorias,13.1
,Sopa Letras 95 Gr,13.0,Rajas Verdes La Morena  380g,18.0,Durazno La Costeñ Rebanadas Lat 820Gr,50.5,Flor De Calabaza,22.2
,Chiles Jalapeños Rajas 340 Gr,18.9,Jalapeños Nachos La Morena  210g,10.2,Frijoles Negros La Costeña Refritos 580 Gr,15.5,Ensalada Campesina,11.6
,Chiles Chipotles Adobados 105 Gr,11.9,Chipotles Adobo La Morena 265g,23.5,Frijol Negros La Sierra 580 Gr,14.55,Ensalada De Verduras,11.5
,Sopas Knorr Sopa Letras 143 Gr,17.0,Rajas Verdes La Morena 265g,8.9,Ensalada De Legumbres Herdez 215 Gr,10.0,Granos De Elote Dorado,7.9
,Atun Agua 295 Gr,35.9,Jalapeños La Morena 265g,7.5,Ensalada De Verduras La Costeña 220 Gr,9.35,Champiñones Rebanados,26.9
,Garbanzo Al Natural 400 Gr,15.5,Rajas San Marcos verdes 120g,5.5,Chícharo Con Zanahoria La Costeña 220 Gr,8.3,Flor De Calabaza,35.0
,Atun Agua Pouch 180 Gr,43.9,Jalapeños San Marcos Enteros 780g,25.0,Chile Chipotles Adobados Enteros Clemente Jacques 210 Gr,18.55,Ejotes,15.0
,Pimiento Morron En Tiras 200 Gr,16.5,Jalapeños San Marcos Enteros 255g,7.0,Frijol Negros Refritos La Sierra 440 Gr,12.5,Chicharos,11.6
,Sopa De Pollo Con Verduras 64 Gr,11.9,Jalapeños San Marcos Enteros 380g,13.5,Frijol Bayos Enteros La Sierra 560 Gr,12.5,Champiñones En Trocitos,31.0
,Sopa De Camaron C/Limon Y Habanero 64 Gr,11.9,Rajas San Marcos Verdes 380g,16.85,Ensalada De Verduras Del Monte 400 Gr,12.5,Arroz Gohan Blanco,199.0
,Sopa Estrellas 115 Gr,16.0,Chipotles San Marcos Adobados Enteros 120g,8.55,Chícharos La Costeña 220 Gr,7.9,Chicharos Con Zanahoria,8.3
,Atun En Aceite 130 Gr,20.5,Rajas Verdes La Morena  2800g,99.8,Elote Grano Del Monte 225 Gr,17.45,Ensalada Campesina,11.0
,El Dorado Atun Atun En Agua 285 Gr,23.0,Chiles Serranos La Costeña Enteros en Escabeche 220g,11.8,Zanahorias En Rodaja La Costeña En Escabeche 220 Gr,9.7,Ensalada De Verduras,7.9
,Sopa Ramen Carne De Res 85 Gr,6.0,Chiles Chipotles La Costeña Adobados 380g,31.1,Frijoles Bayos La Sierra Refritos Con Chorizo 440 Gr,17.95,Chicharos,7.15
,Sopa Municiones 95 Gr,13.0,Chiles Nachos Jalapeños La Costeña Rodajas 380g,17.5,Piña Costeña Trocitos Lat 800Gr,53.5,Champiñones Rebanados,31.2
,Chilorio De Cerdo Pouch 215 Gr,55.0,Chiles Jalapeños La Costeña Picados 380g,23.7,Rajas Rojas De Jalapeño La Costeña En Escabeche 820 Gr,13.7,Champiñones En Trocitos,27.5
,Elote En Lata 400 Gr,12.8,Zanahoria La Costeña en Escabeche 230g,9.2,Soriana Champiñón Rebanado 186 Gr Lat,13.6,Champiñones En Trocitos,14.9
,Chiles Jalapeños Rajas 240 Gr,12.0,Chiles Nachos Jalapeños La Costeña Rodajas 220g,11.5,Frijoles Bayos La Costeña Enteros 400 Gr,11.6,Mole Especial Almendrado .5 Kg,74.0
,Atun En Aceite 140 Gr,18.9,Chiles Chipotles La Costeña Adobados 220g,16.35,Soriana Champiñón Rebanado 425 Gr Lat,22.25,Champiñones Enteros,17.5
,Macarron Con Queso 206 Gr,11.9,Chiles Chipotles La Costeña Adobados Picados 220g,22.9,Media Crema Nestlé 225 Gr,15.2,Champiñones En Escabeche,18.9
,Chilorio De Pavo Pouch 215 Gr,51.9,Chiles Jalapeños La Costeña en Rajas 105g,6.5,Leche Evaporada Carnation Deslactosada 360 Gr,19.6,Ensalada Campesina,8.6
,Frijoles Negros 560 Gr,13.6,Chiles Chipotles La Costeña Adobados 105g,10.95,Leche La Lechera 397 Gramo Lata,25.5,Granos De Elote Sazonado,13.65
,Base P/Pay 170 Gr,34.9,Chiles Nachos Jalapeños La Costeña Rodajas 800g,31.0,Leche Evaporada Deslactosada Alpura 376 Gr,15.6,Cebolla En Vinagre,59.7
,Sopa Coditos 95 Gr,13.0,Chiles La Costeña Rajas Rojas de Jalapeño 220g,12.6,Media Crema Altea 250 Ml,11.2,Granos De Elote Dorado,13.9
,Frijoles Negros Refritos 400 Gr,13.5,Chiles Jalapeños La Costeña Enteros 240g,9.7,Alimento Lacteo Svelty Total Move Bol360,56.5,Chicharos Con Zanahorias,13.5
,Lomo Atun Gourmet En Agua 140 Gr,31.9,Chiles Jalapeños La Costeña en Rajas 240g,9.8,Leche Evaporada Carnation 360 Gr,17.2,Corazones De Alcachofa,323.0
,Atun En Aceite 140 Gr,19.5,Chiles Serranos La Costeña Enteros en Escabeche 800g,36.9,Leche Polvo Svelty Total Digest Doypack Polvo 8X360gmx Svelty Total Digest Doypack Polvo 8X360gmx Svelty 0.3 Kilogramo Pieza,60.0,Chicharos Con Zanahorias,13.65
,Garbanzo En Lata 425 Gr,13.9,Chiles Jalapeños La Costeña Enteros 340g,14.5,Leche Condensada La Lechera 387 Gr,23.5,Mole Don Pancho Apinonado 500 Gr,99.0
,Sopa Estrellas 95 Gr,13.0,Chiles Jalapeños La Costeña en Rajas 340g,18.1,Alimento Lácteo Svelty Total Move 1.6 Kg,34.0,Mole Dulce Polvo Atocpan,53.5
,Atun En Agua 295 Gr,42.5,Chiles Jalapeños La Costeña Picados 220g,12.8,Bebida Polvo Soyapac Bol 500Gr,32.9,Granos De Elote Sazonado,9.6
,Champiñones Rebanados En Lata 186 Gr,12.9,Rajas San Marcos verdes 255g,8.5,Leche Polvo Deslactosada Nido Fortigrow 460 Gr,61.0,Champiñones Rebanados,13.5
