Unnamed: 0,Frutas HBE,Precio Frutas HBE,Frutas Chedraui,Precio Frutas Chedraui,Frutas Soriana,Precio Frutas Soriana,Frutas LaComer,Precio Frutas LaComer
,Platano 1 Kg,16.95,Plátano Chiapas,11.9,Manzana Granny Smith Kg,59.9,Platano Tabasco,16.9
,Sandia Sangria 1 Kg,8.95,Limón Sin Semilla Kg,17.9,Platano Dominico Kg,34.9,Papaya Maradol,34.9
,Papaya Maradol 1 Kg,29.95,Toronja Kg,19.9,Platano Kg,14.9,Limon Agrio,28.5
,Melon Chino 1 Kg,24.95,Mandarina Kg,21.9,Pera Bosc Kg,89.9,Limon Agrio Sin Semilla,26.9
,Naranja Valencia 1 Kg,34.95,Naranja Paramount Kg,59.9,Limon C/Semilla Kg,32.9,Naranja Valencia Para Jugo,22.9
,Manzana Gala Saltillo Bin 179 Gr,39.95,Naranja para Jugo Kg,29.5,Mandarina Kg,19.8,Mango Ataulfo,48.2
,Fresa 1 Lb 454 Gr,76.95,Lima De Chiche Kg,37.0,Mango Ataulfo Kg,39.9,Piña Miel,24.9
,Jicama Gde 1 Kg,16.95,Limón Eureka Paramount Kg,54.9,Naranja S/Semilla Kg,69.9,Melon Chino,32.9
,Pina Miel Gold,54.95,Limón Colima Kg,34.9,Papaya Kg,27.9,Manzana Royal Gala,49.9
,Sandia Roja Sin Semilla 1 Kg,12.95,Naranja Arpilla 5 Kg,55.0,Manzana Golden Delicious Kg,39.9,Fresa,89.9
,Manzana Golden Saltillo Bin 1 Kg,34.95,Pera Bosc Kg,64.9,Melon Chino Kg,24.9,Manzana Starking,44.9
,Manzana Gala Imp 1 Kg,59.95,Pera Asiatica Kg,64.9,Piña Gota Miel Kg,22.8,Uva Blanca Sin Semilla,69.9
,Manzana Golden En Bsa Nacional1.34 1.36 Gr,38.95,Pera Seckel Kg,77.9,Naranja Kg,18.9,Guayaba,25.5
,Manzana Red Delicious Imp Suprema 1 Kg,46.95,Ciruela Huesuda Kg,39.9,Limon Amarillo Kg,39.9,Pera De Anjou,62.9
,Manzana Golden Imp Suprema 218 Gr,54.95,Ciruela Kg,69.9,Manzana Golden Bol Kg,29.9,Jicama,17.9
,Uva Blanca S/S Suprema 1 Kg,99.95,Pera Mantequilla Kg,44.9,Pera Bartlett Kg,44.9,Toronja Sangria,23.9
,Pera D Anjou 1 Kg,64.95,Pera Bartlett Kg,49.5,Fresa Char 454Gr,69.9,Platano Macho,26.9
,Manzana Golden Nacional Charola 1 Kg,34.95,Durazno Rojo Kg,59.9,Nectarina Kg,79.8,Sandia Charleston,10.5
,Toronja Sangria 1 Kg,23.95,Kiwi Kg,79.9,Manzana Red Delicious Kg,34.8,Manzana Golden,29.9
,Blue Berries 170 Gr,54.95,Nectarina Kg,79.9,Sandia Con Semilla Kg,5.8,Mango Manila,48.2
,Platano Macho Gde 1 Kg,26.95,Pera Comice Kg,99.9,Uva Blanca S/Semilla Kg,64.9,Manzana Golden Ex,56.9
,Frambuesa 170 Gr,54.95,Durazno Amarillo Kg,54.7,Limon S/Semilla Kg,34.9,Manzana Granny,56.9
,Durazno Prisco 1 Kg,49.95,Manzana Kg Jazz,54.9,Pera Danjou Kg,39.8,Tuna Blanca,21.6
,Guayaba Suprema 1 Kg,39.95,Manzana Golden Chica en Bolsa por Kilo,29.9,Manzana Royal Bol Kg,54.9,Limon Eureka,67.9
,Sandia Bambino 1 Kg,20.95,Manzana Lady Alice Kg,75.4,Coco Verde Valle 75 Gr,14.45,Platano Dominico,28.9
,Kiwi 1 Kg,99.95,Manzana Golden Bolsa Chica 600 Gr,18.9,Piloncillo Granel Kg,69.9,Durazno Melocoton,89.9
,Zarzamora 170 Gr,54.95,Manzana Royal Gala Kg,49.5,Canela Soriana 100Gr,89.9,Kiwi,79.9
,Tuna Blanca / Verde 1 Kg,16.95,Manzana Golden Mediana Kg,34.9,Uva Pasa Verde Valle 100 Gr,16.9,Mandarina Clementina,91.0
,Uva Roja S/S Suprema 1 Kg,99.95,Manzana Roja Chica Bolsa Kg,34.9,Saladino Uva Pasa 300 Gr Pz,44.0,Uva Red Globo,62.7
,Manzana Granny Smith Gde Imp 1 Kg,69.95,Manzana Roja Mediana Kg,39.9,Saladino Ciruela Pasa Sin Hueso 300 Gr Pz,56.0,Platano Tabasco Organico,25.4
,Durazno Importado 1 Kg,99.95,Manzana Granny Smith Kg,47.9,Cacahuate Soriana Tostado Bol 180Gr,22.9,Manzana Golden Nacional,56.9
,Melon Valenciano 1 Kg,29.95,Manzana Royal Gala BolsaKg,36.9,Tamarindo Granel Kg,49.9,Durazno Amarillo,75.1
,Toronja En Malla De 2.5K 2.5 Kg,59.95,Zarzamora Pz,39.9,Hoja Soriana P/Tamal,18.0,Sandia Baby,26.9
,Platano Dominico 1 Kg,44.95,Uva Verde Kg,69.0,Arandano Natural 250 Gr 18 Cj Pz,84.9,Naranja Importada,59.9
,Manzana Roja Nacional 1 Kg,39.95,Uva Globo Kg Emperador,69.0,Ciruela Pasa Con Hueso Bol 200 Gr Saladi,35.5,Frambuesa,75.9
,Piña Miel Suprema,59.95,Uva Negra Sin Semilla Kg,89.9,Saladino Ciruela Pasa Con Hueso 300 Gr Pz,53.0,Zarzamora,76.0
,Pera Bartlet 1 Kg,66.95,Uva Roja Sin Semilla Kg,69.0,Saladino Nuez India 150 Gr Pz,89.5,Piña,31.3
,Kiwi Dorado Clam C/3Pz,69.95,Blue Berry Pz,49.9,Uva Pasa La Surtidora 100 Gr,21.0,Ciruela Moscatel,56.7
,Uva Negra S/ Semila 1 Kg,99.95,Fresa Pz,75.0,Uva Pasa Valley Foods Sin Semilla 85 Gr,19.15,Sandia Sin Semilla,11.5
,Blueberrie Clam 510 Gr 170 Gr,122.0,Frambuesa Domo 170 gr,44.9,"Nueces Mixtas, Semillas Y Uva Pasa Cashita's 150 Gr",45.5,Tangerina,23.9
,Manzana Red En Bolsa 1.36 1.3 Kg,59.95,Mango Oro Kg,35.5,Cacahuate Tost Wates 280 Gr,34.9,Pera Bosc,66.9
,Fruta Cortada Chico 300 Gr,22.95,Coco Pz,19.2,Calabaza Castilla Kg,14.9,Melon Valenciano,32.9
,Ciruela Roja Importada 1 Kg,89.95,Mango Paraíso  Kg,29.9,Flor Jamaica Soriana 200Gr,57.9,Granada Roja,79.1
,Coco,19.95,Mango Ataulfo Kg,49.9,"Cacahuate, Manzana, Almendra Y Pasa Mafer 90 Gr",37.4,Mamey,44.9
,Fresh Piña Cortada 1 Kg,94.95,Platano Dominico Kg,38.3,Flor De Jamaica Valley Foods Seca 250 Gr,69.5,Manzana Fuji,44.8
,Uva Globo Zacatecas 1 Kg,32.95,Sandia Sin Semilla Kg,15.1,Saladino Coco Rallado 200 Gr Pz,32.0,Calabaza De Castilla,15.9
,Tuna Roja 1 Kg,18.95,Papaya Maradol Kg,26.9,Cacahuate Tost Wates 454 Gr,54.0,Pera Bartlett,66.9
,Fresh Jicama Cortada 1 Kg,47.95,Tuna Kg,17.9,Coco Rallado Bolsa 200 Gr Saladino,23.0,Nectarina,99.9
,Fruta Cortada Grande 600 Gr,44.95,Mango Manila Kg,39.9,Saladino Uva Pasa 300 Gr Pz,44.0,Higo,82.1
,Higo Clam,69.95,Piña Gota Miel Kg,26.9,Saladino Ciruela Pasa Sin Hueso 300 Gr Pz,56.0,Kiwi Dorado,69.9
,Fresh Sandia Cortada 1 Kg,52.95,Platano Macho Kg,26.9,Saladino Ciruela Pasa Con Hueso 300 Gr Pz,53.0,Ciruela Nubiana,99.5
,Manzana Crisp Pink 1 Kg,62.95,Guayaba Kg,34.9,Saladino Nuez India 150 Gr Pz,89.5,Lima,40.3
,Granada Roja 1 Kg,59.95,Sandia Blanca Rayada Kg,11.5,Saladino Coco Rallado 200 Gr Pz,32.0,Granada Roja Extra,129.9
,Manzana Gala Nacional Bolsa 1.36 Kg,42.95,Melon Chino Kg,26.9,Cereza Roja Gnl,21.0,Zapote Negro,33.9
,Uva Globo Roja 1 Kg,99.95,Melon Amarillo Kg,38.0,Pipian Doña Chonita Tbk 350Gr,20.0,Pera Red De Anjou,81.9
,Fresh Melon Cortado 1 Kg,62.95,Granada China Kg,84.3,Arandano 250Gr Genapro,66.5,Kiwi Gold,91.0
,Manzana Ambrosia 1 Kg,69.95,Chicozapote Kg,59.8,Cerezas Rojas E/ Almibar Saladino 425 G,62.0,Uva Roja Sin Semilla,97.0
,Arandano Deshidratado 1 Kg,179.0,Mamey Kg,36.4,Pipian Listo Para Servir Doña Maria 360 Gramo Tetrabrick,15.9,Limon Real,38.8
,Pera Red D Anjou 1 Kg,54.95,Pitahaya Granel Kg,89.1,Healthy Mix 200 Grs Saladino,79.0,Maracuya,49.7
,Manzana Braeburn 1 Kg,69.95,Granada Roja Kg,45.3,Nuez Mixta 200Gr Genapro,77.5,Coco De Agua,19.5
